IAU_code,name,start,end,peak,RA,DE,V,r,ZHR,startDate,endDate,peakDate,radiant
ANT,Antihelion Source,Dec 10,Sep 10,Jan 01,187.0000,-4.0000,30.0000,3.000,4,2022-12-10,2023-09-10,2023-01-01,Leo
QUA,Quadrantids,Dec 26,Jan 12,Jan 04,230.0000,49.0000,41.0000,2.100,120,2022-12-26,2023-01-12,2023-01-04,Boötes
GUM,γ-Ursae Minorid,Jan 15,Jan 25,Jan 20,229.0000,67.0000,31.0000,3.000,3,2023-01-15,2023-01-25,2023-01-20,Ursa Minor
ACE,α-Centaurids,Jan 28,Feb 21,Feb 08,210.0000,-59.0000,56.0000,2.000,6,2023-01-28,2023-02-21,2023-02-08,Centaurus
GNO,γ-Normids,Feb 25,Mar 28,Mar 14,239.0000,-50.0000,56.0000,2.400,6,2023-02-25,2023-03-28,2023-03-14,Norma
LYR,Lyrids,Apr 16,Apr 25,Apr 22,271.0000,34.0000,49.0000,2.100,18,2023-04-16,2023-04-25,2023-04-22,Lyra
PPU,π-Puppids,Apr 15,Apr 28,Apr 23,110.0000,-45.0000,18.0000,2.000,0,2023-04-15,2023-04-28,2023-04-23,Puppis
ETA,η-Aquariids,Apr 19,May 28,May 05,338.0000,-1.0000,66.0000,2.400,40,2023-04-19,2023-05-28,2023-05-05,Aquarius
ELY,η-Lyrids,May 03,May 14,May 08,287.0000,44.0000,43.0000,3.000,3,2023-05-03,2023-05-14,2023-05-08,Lyra
TAH,τ Herculids,May 25,Jun 04,May 31,209.0000,28.0000,16.0000,2.500,10,2023-05-25,2023-06-04,2023-05-31,Hercules
ARI,Daytime Arietids,May 14,Jun 24,Jun 07,44.0000,24.0000,38.0000,2.800,50,2023-05-14,2023-06-24,2023-06-07,Aries
JBO,June Bootids,Jun 22,Jul 02,Jun 27,224.0000,48.0000,18.0000,2.200,,2023-06-22,2023-07-02,2023-06-27,Boötes
JPE,July Pegasids,Jul 04,Jul 17,Jul 10,347.0000,10.0000,65.0000,3.000,3,2023-07-04,2023-07-17,2023-07-10,Pegasus
PAU,Piscis Austrinids,Jul 15,Aug 10,Jul 28,341.0000,-30.0000,35.0000,3.200,5,2023-07-15,2023-08-10,2023-07-28,Piscis Austrinus
SDA,Southern δ-Aquariids,Jul 12,Aug 23,Jul 30,340.0000,-16.0000,41.0000,2.500,25,2023-07-12,2023-08-23,2023-07-30,Aquarius
CAP,α-Capricornids,Jul 03,Aug 15,Jul 30,307.0000,-10.0000,23.0000,2.500,5,2023-07-03,2023-08-15,2023-07-30,Capricornus
ERI,η-Eridanids,Jul 31,Aug 19,Aug 08,41.0000,-11.0000,64.0000,3.000,,2023-07-31,2023-08-19,2023-08-08,Eridanus
PER,Perseids,Jul 17,Aug 24,Aug 12,48.0000,58.0000,59.0000,2.200,150,2023-07-17,2023-08-24,2023-08-12,Perseus
KCG,κ-Cygnids,Aug 03,Aug 25,Aug 17,286.0000,59.0000,25.0000,3.000,3,2023-08-03,2023-08-25,2023-08-17,Cygnus
AUR,Aurigids,Aug 28,Sep 05,Aug 31,91.0000,39.0000,66.0000,2.500,6,2023-08-28,2023-09-05,2023-08-31,Auriga
NUE,Ν Eridanids,Sep 01,Oct 29,Sep 06,62.0000,4.0000,67.0000,0.950,,2023-09-01,2023-10-29,2023-09-06,Eridanus
SPE,September ε-Perseids,Sep 05,Sep 21,Sep 09,48.0000,40.0000,64.0000,3.000,5,2023-09-05,2023-09-21,2023-09-09,Perseus
CCY,χ-Cygnids,Sep 03,Sep 25,Sep 14,301.0000,33.0000,15.0000,3.000,,2023-09-03,2023-09-25,2023-09-14,Cygnus
DSX,Daytime Sextantids,Sep 09,Oct 09,Sep 27,152.0000,0.0000,32.0000,2.500,5,2023-09-09,2023-10-09,2023-09-27,Sextans
OCT,October Camelopardalids,Oct 05,Oct 06,Oct 06,164.0000,79.0000,46.0000,2.500,0,2023-10-05,2023-10-06,2023-10-06,Camelopardalis
DRA,Draconids,Oct 06,Oct 10,Oct 08,262.0000,54.0000,20.0000,2.600,,2023-10-06,2023-10-10,2023-10-08,Draco
STA,Southern Taurids ,Sep 10,Nov 20,Oct 10,32.0000,9.0000,27.0000,2.300,5,2023-09-10,2023-11-20,2023-10-10,Taurus
DAU,δ-Aurigids,Oct 10,Oct 18,Oct 11,84.0000,44.0000,64.0000,3.000,2,2023-10-10,2023-10-18,2023-10-11,Auriga
EGE,ε-Geminids,Oct 14,Oct 27,Oct 18,102.0000,27.0000,70.0000,3.000,3,2023-10-14,2023-10-27,2023-10-18,Gemini
ORI,Orionids,Oct 02,Nov 07,Oct 22,95.0000,16.0000,66.0000,2.500,15,2023-10-02,2023-11-07,2023-10-22,Orion
LMI,Leonis Minorids,Oct 19,Oct 27,Oct 24,162.0000,37.0000,62.0000,3.000,2,2023-10-19,2023-10-27,2023-10-24,Leo Minor
NTA,Northern Taurids,Oct 20,Dec 10,Nov 12,58.0000,22.0000,29.0000,2.300,5,2023-10-20,2023-12-10,2023-11-12,Taurus
LEO,Leonids,Nov 06,Nov 30,Nov 17,152.0000,22.0000,71.0000,2.500,15,2023-11-06,2023-11-30,2023-11-17,Leo
AMO,α-Monocerotids,Nov 15,Nov 25,Nov 21,117.0000,1.0000,65.0000,2.500,,2023-11-15,2023-11-25,2023-11-21,Monoceros
NOO,November Orionids,Nov 13,Dec 06,Nov 28,91.0000,16.0000,44.0000,3.000,3,2023-11-13,2023-12-06,2023-11-28,Orion
PHO,Pheonicids,Nov 28,Dec 09,Dec 02,18.0000,-53.0000,18.0000,2.800,,2023-11-28,2023-12-09,2023-12-02,Phoenix
DPC,December φ-Cassiopeids,Dec 01,Dec 08,Dec 06,24.0000,50.0000,16.0000,3.000,0,2023-12-01,2023-12-08,2023-12-06,Cassiopeia
PUP,Puppid-Velids,Dec 01,Dec 15,Dec 07,123.0000,-45.0000,40.0000,2.900,10,2023-12-01,2023-12-15,2023-12-07,Vela
MON,Monocerotids,Dec 05,Dec 20,Dec 08,100.0000,8.0000,41.0000,3.000,2,2023-12-05,2023-12-20,2023-12-08,Monoceros
GEM,Geminids,Dec 04,Dec 17,Dec 11,112.0000,33.0000,35.0000,2.600,120,2023-12-04,2023-12-17,2023-12-11,Gemini
HYD,σ-Hydrids,Dec 03,Dec 15,Dec 11,127.0000,2.0000,58.0000,3.000,3,2023-12-03,2023-12-15,2023-12-11,Hydrus
COM,Comae Berenicids,Dec 12,Dec 23,Dec 15,175.0000,18.0000,65.0000,3.000,3,2023-12-12,2023-12-23,2023-12-15,Coma Berenices
DLM,December Leonis Minorids,Dec 05,Feb 04,Dec 20,161.0000,30.0000,64.0000,3.000,5,2022-12-05,2023-02-04,2023-12-20,Leo Minor
URS,Ursids,Dec 17,Dec 26,Dec 22,217.0000,76.0000,33.0000,3.000,10,2023-12-17,2023-12-26,2023-12-22,Ursa Minor
